57,technician,tertiary,cellular,122,4,-1,no
54,blue-collar,primary,cellular,108,3,-1,no
56,retired,secondary,cellular,110,4,-1,no
38,technician,secondary,cellular,186,3,-1,no
31,technician,tertiary,cellular,67,6,-1,no
51,services,tertiary,cellular,297,8,-1,no
39,technician,tertiary,cellular,70,2,-1,no
51,management,tertiary,cellular,93,2,-1,no
34,management,secondary,cellular,91,2,-1,no
49,admin.,secondary,cellular,301,2,-1,no
49,blue-collar,unknown,cellular,88,2,-1,no
35,technician,secondary,cellular,261,2,-1,no
47,blue-collar,unknown,cellular,187,2,-1,no
52,housemaid,primary,cellular,139,4,-1,no
50,admin.,secondary,cellular,59,2,-1,no
37,admin.,tertiary,cellular,420,3,-1,no
43,management,tertiary,cellular,352,2,-1,no
42,management,tertiary,cellular,135,2,-1,no
48,technician,secondary,cellular,219,2,-1,no
38,management,tertiary,cellular,117,2,-1,no
52,entrepreneur,secondary,cellular,82,2,-1,no
41,technician,secondary,cellular,122,2,-1,no
41,management,tertiary,cellular,91,2,-1,no
37,management,tertiary,cellular,64,2,-1,no
45,blue-collar,secondary,cellular,235,2,-1,no
36,entrepreneur,secondary,cellular,67,2,-1,no
34,student,tertiary,cellular,267,2,-1,no
30,technician,tertiary,cellular,74,2,-1,no
38,management,tertiary,cellular,131,2,-1,no
55,technician,secondary,cellular,78,2,-1,no
33,management,tertiary,cellular,402,2,-1,no
31,technician,secondary,cellular,123,2,-1,no
32,housemaid,primary,cellular,132,2,-1,no
34,technician,tertiary,cellular,587,2,-1,yes
48,technician,secondary,cellular,51,3,-1,no
43,technician,tertiary,cellular,185,2,-1,no
35,technician,tertiary,cellular,51,2,-1,no
45,technician,secondary,cellular,163,2,-1,no
56,management,tertiary,cellular,666,2,-1,no
40,technician,secondary,cellular,326,2,-1,no
51,self-employed,primary,cellular,292,2,-1,no
39,technician,secondary,cellular,395,2,-1,yes
31,technician,secondary,cellular,137,2,-1,no
47,admin.,secondary,cellular,663,4,-1,yes
30,housemaid,tertiary,cellular,387,2,-1,no
39,technician,tertiary,cellular,108,2,-1,no
58,unemployed,secondary,cellular,142,2,-1,no
38,admin.,secondary,cellular,48,2,-1,no
49,blue-collar,secondary,cellular,253,2,-1,no
47,technician,tertiary,cellular,228,2,-1,no
30,technician,secondary,cellular,124,2,-1,no
35,management,tertiary,cellular,358,2,-1,no
52,technician,secondary,cellular,134,2,-1,no
48,blue-collar,secondary,cellular,239,2,-1,no
36,management,tertiary,cellular,113,4,-1,no
48,technician,secondary,cellular,84,2,-1,no
31,management,tertiary,cellular,224,2,-1,no
34,technician,secondary,cellular,274,2,-1,no
33,entrepreneur,tertiary,cellular,22,2,-1,no
35,technician,secondary,telephone,309,4,-1,no
33,technician,secondary,cellular,131,2,-1,no
45,self-employed,secondary,cellular,159,2,-1,no
52,management,tertiary,cellular,63,2,-1,no
39,management,tertiary,cellular,1462,4,-1,no
42,technician,secondary,cellular,152,2,-1,no
53,technician,secondary,cellular,103,2,-1,no
