age,job_id,edu_id,contact,duration,campaign,pdays,outcome
34,2,2,cellular,113,2,-1,no
29,1,2,cellular,161,4,-1,no
34,2,2,cellular,131,2,-1,no
46,1,4,cellular,181,2,-1,no
48,2,1,cellular,324,2,-1,no
43,10,2,cellular,183,2,-1,no
41,10,3,telephone,117,2,-1,no
44,8,2,cellular,256,2,-1,no
52,8,2,cellular,94,2,-1,no
44,7,3,cellular,221,2,-1,no
31,10,3,cellular,184,2,-1,no
28,2,1,cellular,189,2,-1,no
50,10,3,cellular,184,2,-1,no
37,2,2,cellular,94,2,-1,no
57,1,2,cellular,82,2,-1,no
37,5,3,cellular,69,2,-1,no
41,10,2,cellular,215,1,-1,no
40,3,1,cellular,271,2,-1,no
56,2,1,cellular,166,1,-1,no
32,1,3,cellular,85,2,-1,no
35,10,2,cellular,165,2,-1,no
51,7,3,cellular,139,2,-1,no
38,3,1,cellular,50,2,-1,no
53,1,4,cellular,1310,2,-1,yes
38,10,3,cellular,260,2,-1,no
37,2,2,cellular,143,2,-1,no
32,7,2,cellular,712,2,-1,no
37,10,2,cellular,906,2,-1,no
38,2,2,cellular,545,2,-1,no
37,2,2,cellular,484,1,-1,no
37,3,3,cellular,970,2,-1,no
34,4,1,telephone,31,2,-1,no
41,1,2,telephone,178,2,-1,no
42,1,2,cellular,42,2,-1,no
44,1,2,cellular,911,2,-1,yes
37,10,2,cellular,283,1,-1,no
39,10,2,cellular,467,1,-1,no
50,8,2,cellular,479,2,-1,no
28,2,2,cellular,166,1,-1,no
36,10,2,cellular,252,1,-1,no
34,1,2,cellular,286,2,-1,no
35,10,2,cellular,271,2,-1,no
40,2,2,cellular,595,2,-1,no
46,2,2,cellular,1187,3,-1,no
32,7,2,cellular,812,1,-1,yes
47,10,2,cellular,853,2,-1,yes
36,7,2,cellular,126,2,-1,no
33,10,3,cellular,203,1,-1,no
56,10,2,telephone,52,4,-1,no
31,8,2,cellular,60,2,-1,no
27,8,2,cellular,170,1,-1,no
31,1,2,cellular,100,2,-1,no
31,2,2,cellular,196,2,-1,no
29,1,2,cellular,114,1,-1,no
31,3,3,cellular,151,2,-1,no
32,8,2,cellular,333,2,-1,no
36,1,2,cellular,147,10,-1,no
51,10,2,telephone,57,1,-1,no
59,1,3,cellular,67,1,-1,no
47,5,3,cellular,80,2,-1,no
29,8,2,cellular,314,2,-1,no
51,10,2,cellular,451,1,-1,no
32,5,3,cellular,1389,2,-1,no
40,5,3,cellular,131,2,-1,no
50,5,3,cellular,502,2,-1,no
33,5,4,cellular,1041,2,-1,yes
54,6,1,cellular,159,2,-1,no
33,7,3,cellular,261,2,-1,no
35,8,1,cellular,614,2,-1,yes
37,10,2,cellular,141,2,-1,no
37,8,2,cellular,210,2,-1,no
45,8,2,cellular,106,2,-1,no
48,7,2,cellular,175,1,-1,no
35,5,3,cellular,89,1,-1,no
49,2,2,cellular,1060,2,-1,yes
43,1,1,cellular,87,2,-1,no
32,4,2,cellular,93,2,-1,no
52,5,3,cellular,213,2,-1,no
54,5,3,cellular,104,1,-1,no
34,5,3,cellular,55,1,-1,no
32,3,2,cellular,223,2,-1,no
37,5,2,cellular,71,2,-1,no
38,10,2,cellular,404,1,-1,no
44,10,3,cellular,47,2,-1,no
31,8,2,cellular,773,3,-1,no
34,5,3,cellular,439,2,-1,no
27,1,2,telephone,321,2,-1,no
35,8,3,cellular,134,2,-1,no
27,3,3,cellular,143,2,-1,no
42,4,4,cellular,342,2,-1,no
42,8,2,cellular,148,2,-1,no
37,5,3,cellular,92,2,-1,no
40,1,2,cellular,159,1,-1,no
32,5,3,cellular,508,1,-1,no
55,10,3,cellular,121,2,-1,no
51,11,3,cellular,222,7,-1,no
44,5,2,cellular,96,2,-1,no
58,6,2,cellular,186,2,-1,no
50,3,2,cellular,717,2,-1,no
38,5,3,cellular,151,2,-1,no
45,2,4,cellular,145,2,-1,no
59,6,4,telephone,330,2,-1,no
59,2,1,cellular,16,2,-1,no
55,5,2,cellular,1973,2,-1,yes
45,5,3,cellular,128,2,-1,no
60,8,1,cellular,165,2,-1,no
50,8,2,cellular,196,2,-1,no
47,3,3,telephone,87,2,-1,no
27,1,2,cellular,271,5,-1,no
29,1,2,cellular,249,2,-1,no
46,8,1,cellular,211,2,-1,no
41,10,2,cellular,132,2,-1,no
25,5,3,cellular,549,2,-1,no
59,5,3,telephone,189,1,-1,no
34,5,3,cellular,378,1,-1,no
42,5,3,cellular,144,2,-1,no
26,4,2,cellular,191,1,-1,no
29,5,3,cellular,963,2,-1,yes
35,1,2,cellular,146,2,-1,no
55,4,2,cellular,269,2,-1,no
38,1,2,cellular,333,1,-1,no
