64,retired,primary,cellular,181,2,-1,no
66,retired,tertiary,cellular,79,2,-1,no
60,admin.,secondary,telephone,261,1,187,yes
32,management,tertiary,cellular,268,1,102,no
47,housemaid,secondary,cellular,105,1,-1,yes
56,unemployed,secondary,cellular,511,3,187,yes
25,technician,secondary,cellular,138,1,-1,yes
21,student,secondary,cellular,180,1,-1,yes
83,retired,unknown,cellular,92,1,-1,no
83,retired,tertiary,cellular,766,1,62,no
73,retired,secondary,cellular,146,1,-1,yes
56,blue-collar,primary,telephone,99,3,102,no
45,blue-collar,secondary,cellular,99,1,131,no
77,retired,primary,telephone,95,2,-1,no
67,retired,primary,telephone,88,3,-1,no
30,technician,tertiary,cellular,251,3,98,no
59,retired,primary,unknown,54,1,526,no
31,management,tertiary,cellular,203,4,165,yes
25,blue-collar,secondary,cellular,187,1,91,yes
38,management,tertiary,cellular,166,1,-1,no
43,admin.,secondary,cellular,242,1,92,no
27,student,secondary,cellular,323,1,-1,yes
25,admin.,tertiary,cellular,143,1,-1,no
75,retired,secondary,telephone,250,1,431,no
33,self-employed,tertiary,cellular,146,2,183,no
33,management,tertiary,cellular,209,3,427,yes
63,management,tertiary,cellular,130,2,182,no
38,blue-collar,secondary,unknown,8,1,-1,no
25,management,tertiary,unknown,5,1,-1,no
