age,job_id,edu_id,contact,duration,campaign,pdays,outcome
31,5,3,cellular,214,1,99,no
38,1,2,cellular,210,1,92,yes
19,9,2,cellular,191,1,-1,no
18,9,4,cellular,169,1,-1,yes
25,9,3,cellular,127,2,-1,no
37,2,2,unknown,9,1,-1,no
33,7,2,cellular,165,1,97,yes
56,6,4,cellular,167,1,92,no
46,1,2,cellular,149,2,187,no
34,5,3,cellular,219,1,-1,no
52,5,3,cellular,127,1,370,no
25,9,4,cellular,140,1,-1,yes
42,5,3,telephone,376,2,-1,yes
30,2,2,telephone,298,3,-1,yes
37,5,3,cellular,1081,2,-1,yes
57,5,1,telephone,201,1,292,no
