32,technician,tertiary,cellular,957,2,131,no
26,admin.,secondary,cellular,351,3,-1,yes
36,entrepreneur,secondary,cellular,131,1,-1,no
35,services,secondary,cellular,73,1,-1,no
46,management,tertiary,cellular,202,2,-1,no
32,management,tertiary,cellular,247,2,-1,no
39,technician,secondary,cellular,233,2,133,no
59,retired,secondary,cellular,126,2,239,no
40,technician,tertiary,cellular,107,1,-1,no
46,services,secondary,cellular,836,1,-1,no
33,admin.,secondary,cellular,427,1,329,no
40,blue-collar,primary,cellular,212,1,-1,no
47,blue-collar,secondary,cellular,274,1,238,no
38,blue-collar,tertiary,cellular,1176,1,-1,yes
27,management,tertiary,cellular,124,1,-1,no
37,management,secondary,cellular,786,1,135,no
32,services,tertiary,cellular,1156,1,261,no
46,management,tertiary,cellular,1196,1,-1,yes
27,technician,tertiary,cellular,165,2,-1,yes
44,services,secondary,cellular,525,2,-1,no
54,retired,secondary,cellular,479,1,307,no
35,technician,secondary,cellular,295,1,303,no
38,admin.,secondary,cellular,117,1,-1,no
63,self-employed,tertiary,cellular,387,2,-1,yes
46,self-employed,tertiary,cellular,463,1,133,no
49,admin.,primary,cellular,286,2,225,no
34,blue-collar,secondary,cellular,161,2,253,no
52,admin.,secondary,cellular,498,3,-1,no
45,services,secondary,cellular,251,4,329,no
41,blue-collar,secondary,cellular,625,2,-1,no
58,management,tertiary,cellular,121,2,135,no
49,management,tertiary,cellular,285,3,132,no
38,blue-collar,secondary,cellular,257,2,-1,no
19,student,unknown,cellular,184,4,-1,yes
52,services,secondary,telephone,74,3,-1,no
37,management,tertiary,cellular,510,3,-1,no
34,blue-collar,secondary,cellular,647,2,-1,no
26,management,tertiary,cellular,149,1,350,yes
61,management,tertiary,cellular,158,1,115,no
50,technician,secondary,cellular,280,1,184,yes
84,retired,secondary,telephone,390,1,94,yes
86,retired,primary,telephone,558,2,-1,yes
33,technician,secondary,cellular,176,1,370,no
46,management,unknown,telephone,216,3,370,yes
26,management,tertiary,cellular,263,1,-1,no
45,technician,secondary,cellular,358,2,-1,yes
60,blue-collar,primary,unknown,111,1,-1,yes
