age,job_id,edu_id,contact,duration,campaign,pdays,outcome
47,5,3,cellular,257,1,-1,yes
28,7,2,cellular,294,3,-1,no
33,5,3,cellular,92,2,312,no
36,1,3,cellular,104,1,-1,no
23,2,1,cellular,74,1,108,no
31,3,3,cellular,88,2,-1,no
31,9,2,cellular,220,1,207,yes
35,10,2,cellular,238,6,98,no
35,5,3,cellular,60,1,390,no
27,5,3,cellular,188,1,-1,yes
39,8,2,cellular,108,1,32,no
27,5,3,cellular,270,2,377,no
56,6,2,cellular,382,2,-1,yes
31,1,2,cellular,151,1,-1,yes
28,1,2,cellular,60,1,-1,no
47,10,2,cellular,54,3,-1,no
25,10,2,cellular,74,1,-1,no
26,5,3,cellular,129,1,-1,yes
49,5,3,cellular,173,1,-1,yes
59,10,2,cellular,415,1,89,yes
54,2,2,cellular,439,1,-1,no
60,2,1,telephone,94,2,-1,no
46,5,3,cellular,83,4,-1,no
24,1,3,cellular,77,1,-1,no
45,8,4,cellular,75,2,-1,no
52,3,2,cellular,288,1,-1,yes
76,7,4,telephone,126,3,48,no
33,11,3,cellular,92,1,301,no
45,10,3,cellular,243,5,285,yes
37,1,3,cellular,322,1,90,yes
22,9,4,telephone,263,4,-1,no
40,7,3,cellular,491,2,207,yes
25,1,3,cellular,135,1,-1,no
35,5,3,cellular,205,2,81,no
35,7,3,cellular,651,1,-1,yes
